year,title,IMDb ID
2025,Dreams (Sex Love),tt30810787
2024,Dahomey,tt31015216
2023,On the Adamant,tt26448811
2022,Alcarràs,tt11930126
2021,Bad Luck Banging or Loony Porn,tt14033502
2020,There Is No Evil,tt11697844
2019,Synonyms,tt7016254
2018,Touch Me Not,tt4949112
2017,On Body and Soul,tt5607714
2016,Fire at Sea,tt3652526
2015,Taxi,tt4359416
2014,"Black Coal, Thin Ice",tt3469910
2013,Child's Pose,tt2187115
2012,Caesar Must Die,tt2177511
2011,A Separation,tt1832382
2010,Honey,tt1571724
2009,The Milk of Sorrow,tt1206488
2008,Elite Squad,tt0861739
2007,Tuya's Marriage,tt0949564
2006,Grbavica,tt0464029
2005,U-Carmen eKhayelitsha,tt0445776
2004,Head-On,tt0347048
2003,In This World,tt0310154
2002,Bloody Sunday,tt0280491
2002,Spirited Away,tt0245429
2001,Intimacy,tt0256103
2000,Magnolia,tt0175880
1999,The Thin Red Line,tt0120863
1998,Central Station,tt0140888
1997,The People vs. Larry Flynt,tt0117318
1996,Sense and Sensibility,tt0114388
1995,The Bait,tt0112387
1994,In the Name of the Father,tt0107207
1993,The Wedding Banquet,tt0107156
1993,Woman Sesame Oil Maker,tt0108608
1992,Grand Canyon,tt0101969
1991,The House of Smiles,tt0094841
1990,Larks on a String,tt0064994
1990,Music Box,tt0100211
1989,Rain Man,tt0095953
1988,Red Sorghum,tt0093206
1987,The Theme,tt0079999
1986,Stammheim,tt0092004
1985,Wetherby,tt0090310
1985,The Woman and the Stranger,tt0089169
1984,Love Streams,tt0087644
1983,Ascendancy,tt0083582
1983,La colmena,tt0083745
1982,Veronika Voss,tt0084654
1981,"Deprisa, deprisa",tt0082259
1980,Heartland,tt0082508
1980,Palermo or Wolfsburg,tt0081299
1979,David,tt0079028
1978,Ascensor,tt0425756
1978,Las truchas,tt0076846
1978,What Max Said,tt0076520
1977,The Ascent,tt0075404
1976,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",tt0074254
1975,Adoption,tt0073948
1974,The Apprenticeship of Duddy Kravitz,tt0071155
1973,Distant Thunder,tt0069737
1972,The Canterbury Tales,tt0067647
1971,The Garden of the Finzi-Continis,tt0065777
1970,o.k.,tt0066171
1969,Early Works,tt0064874
1968,Who Saw Him Die?,tt0063384
1967,Le Départ,tt0061605
1966,Cul-de-Sac,tt0060268
1965,Alphaville,tt0058898
1964,Dry Summer,tt0062322
1963,"Bushido, Samurai Saga",tt0055816
1963,To Bed or Not to Bed,tt0056995
1962,A Kind of Loving,tt0056141
1961,La Notte,tt0054130
1960,El Lazarillo de Tormes,tt0052995
1959,Les Cousins,tt0052708
1958,Wild Strawberries,tt0050986
1957,12 Angry Men,tt0050083
1956,Invitation to the Dance,tt0049367
1955,Die Ratten,tt0048542
1954,Hobson's Choice,tt0047094
1953,The Wages of Fear,tt0046268
1952,One Summer of Happiness,tt0043652
1951,Four in a Jeep,tt0044192
1951,Without Leaving an Address,tt0042923
1951,In Beaver Valley,tt0042592
1951,Justice Is Done,tt0042625
1951,Cinderella,tt0042332
